id,booking_reference,user_id,accommodation_id,status,total_price,currency,check_in_date,check_out_date,guest_count,notes,created_at,updated_at,deleted_at,source,guest_name,guest_email,accommodation_name
15,BK1762421920773A229F,7,2,confirmed,10000.00,ZAR,Thu Nov 06 2025 00:00:00 GMT+0200 (South Africa Standard Time),Fri Nov 07 2025 00:00:00 GMT+0200 (South Africa Standard Time),2,Guest: Sarah Mnisi | Email: sarah.wilson@example.com | Phone: +27123456793,Thu Nov 06 2025 11:38:40 GMT+0200 (South Africa Standard Time),Thu Nov 06 2025 11:38:40 GMT+0200 (South Africa Standard Time),,Website,Sarah Mnisi,sarah.wilson@example.com,Johannesburg Business Hotel
14,BK17624217575173ELBZ,7,3,confirmed,7500.00,ZAR,Fri Nov 07 2025 00:00:00 GMT+0200 (South Africa Standard Time),Mon Nov 10 2025 00:00:00 GMT+0200 (South Africa Standard Time),3,"Guest: Sarah Mnisi | Email: sarah.wilson@example.com | Phone: +27123456793
Special Requests: Please add in extra towels",Thu Nov 06 2025 11:35:57 GMT+0200 (South Africa Standard Time),Thu Nov 06 2025 11:35:57 GMT+0200 (South Africa Standard Time),,Website,Sarah Mnisi,sarah.wilson@example.com,Durban Beach Resort
13,BK1762200501032ZJZFQ,5,2,confirmed,10000.00,ZAR,Mon Nov 03 2025 00:00:00 GMT+0200 (South Africa Standard Time),Tue Nov 04 2025 00:00:00 GMT+0200 (South Africa Standard Time),2,Guest: Jane Smith | Email: jane.smith@example.com | Phone: +27123456791,Mon Nov 03 2025 22:08:21 GMT+0200 (South Africa Standard Time),Mon Nov 03 2025 22:08:21 GMT+0200 (South Africa Standard Time),,Website,Jane Smith,jane.smith@example.com,Johannesburg Business Hotel
12,BK1762200479828LOIWQ,5,4,confirmed,1400.00,ZAR,Tue Nov 04 2025 00:00:00 GMT+0200 (South Africa Standard Time),Wed Nov 05 2025 00:00:00 GMT+0200 (South Africa Standard Time),2,Guest: Jane Smith | Email: jane.smith@example.com | Phone: +27123456791,Mon Nov 03 2025 22:07:59 GMT+0200 (South Africa Standard Time),Mon Nov 03 2025 22:07:59 GMT+0200 (South Africa Standard Time),,Website,Jane Smith,jane.smith@example.com,Pretoria Boutique Hotel
11,BK1762200445515NJ050,5,4,confirmed,1400.00,ZAR,Mon Nov 03 2025 00:00:00 GMT+0200 (South Africa Standard Time),Tue Nov 04 2025 00:00:00 GMT+0200 (South Africa Standard Time),2,"Guest: Jane Smith | Email: jane.smith@example.com | Phone: +27123456791
Special Requests: pop",Mon Nov 03 2025 22:07:25 GMT+0200 (South Africa Standard Time),Mon Nov 03 2025 22:07:25 GMT+0200 (South Africa Standard Time),,Website,Jane Smith,jane.smith@example.com,Pretoria Boutique Hotel
10,BK17622002352697N696,4,3,confirmed,2800.00,ZAR,Tue Nov 04 2025 00:00:00 GMT+0200 (South Africa Standard Time),Wed Nov 05 2025 00:00:00 GMT+0200 (South Africa Standard Time),2,"Guest: J Doe | Email: john.doe@example.com | Phone: +27123456790
Special Requests: add beers",Mon Nov 03 2025 22:03:55 GMT+0200 (South Africa Standard Time),Mon Nov 03 2025 22:03:55 GMT+0200 (South Africa Standard Time),,Website,J Doe,john.doe@example.com,Durban Beach Resort
9,BK17621994225198ACTP,4,4,confirmed,2800.00,ZAR,Mon Nov 03 2025 00:00:00 GMT+0200 (South Africa Standard Time),Wed Nov 05 2025 00:00:00 GMT+0200 (South Africa Standard Time),2,Guest: J Doe | Email: john.doe@example.com | Phone: +27123456790,Mon Nov 03 2025 21:50:22 GMT+0200 (South Africa Standard Time),Mon Nov 03 2025 21:50:22 GMT+0200 (South Africa Standard Time),,Website,J Doe,john.doe@example.com,Pretoria Boutique Hotel
8,BK1762197211896J0LR5,4,2,confirmed,20000.00,ZAR,Mon Nov 03 2025 00:00:00 GMT+0200 (South Africa Standard Time),Wed Nov 05 2025 00:00:00 GMT+0200 (South Africa Standard Time),2,"Guest: J Doe | Email: john.doe@example.com | Phone: +27123456790
Special Requests: please add extra towels",Mon Nov 03 2025 21:13:31 GMT+0200 (South Africa Standard Time),Mon Nov 03 2025 21:13:31 GMT+0200 (South Africa Standard Time),,Website,J Doe,john.doe@example.com,Johannesburg Business Hotel
7,BK1762178958543YI3E8,1,2,confirmed,11200.00,ZAR,Mon Nov 10 2025 00:00:00 GMT+0200 (South Africa Standard Time),Mon Nov 17 2025 00:00:00 GMT+0200 (South Africa Standard Time),2,"Guest: Vukona Mnisi | Email: vukona@mlodgehotel.co.za | Phone: 0711507002
Special Requests: i have asthma so all the mattress must be removed.",Mon Nov 03 2025 16:09:18 GMT+0200 (South Africa Standard Time),Mon Nov 03 2025 16:09:18 GMT+0200 (South Africa Standard Time),,Website,Vukona Mnisi,vukona@mlodgehotel.co.za,Johannesburg Business Hotel
6,BK1762174341428BT42H,1,2,confirmed,1600.00,ZAR,Tue Nov 04 2025 00:00:00 GMT+0200 (South Africa Standard Time),Wed Nov 05 2025 00:00:00 GMT+0200 (South Africa Standard Time),2,Guest: Vukona Mnisi | Email: vukona@mlodgehotel.co.za | Phone: 0711507002,Mon Nov 03 2025 14:52:21 GMT+0200 (South Africa Standard Time),Mon Nov 03 2025 14:52:21 GMT+0200 (South Africa Standard Time),,Website,Vukona Mnisi,vukona@mlodgehotel.co.za,Johannesburg Business Hotel
4,BK2024004,5,1,cancelled,2500.00,ZAR,Sun Feb 25 2024 00:00:00 GMT+0200 (South Africa Standard Time),Mon Feb 26 2024 00:00:00 GMT+0200 (South Africa Standard Time),1,Travel plans changed,Mon Nov 03 2025 14:47:27 GMT+0200 (South Africa Standard Time),Mon Nov 03 2025 14:47:27 GMT+0200 (South Africa Standard Time),,Phone,Jane Smith,jane.smith@example.com,Cape Town Luxury Hotel
3,BK2024003,4,3,confirmed,5600.00,ZAR,Sun Feb 18 2024 00:00:00 GMT+0200 (South Africa Standard Time),Tue Feb 20 2024 00:00:00 GMT+0200 (South Africa Standard Time),2,Anniversary celebration,Mon Nov 03 2025 14:47:27 GMT+0200 (South Africa Standard Time),Mon Nov 03 2025 14:47:27 GMT+0200 (South Africa Standard Time),,Mobile App,J Doe,john.doe@example.com,Durban Beach Resort
2,BK2024002,3,2,pending,3200.00,ZAR,Tue Feb 20 2024 00:00:00 GMT+0200 (South Africa Standard Time),Thu Feb 22 2024 00:00:00 GMT+0200 (South Africa Standard Time),1,Business trip,Mon Nov 03 2025 14:47:27 GMT+0200 (South Africa Standard Time),Mon Nov 03 2025 14:47:27 GMT+0200 (South Africa Standard Time),,Website,Admin User,admin@mlodge.com,Johannesburg Business Hotel
5,BK2024005,2,4,confirmed,2800.00,ZAR,Thu Feb 22 2024 00:00:00 GMT+0200 (South Africa Standard Time),Sat Feb 24 2024 00:00:00 GMT+0200 (South Africa Standard Time),2,Weekend getaway,Mon Nov 03 2025 14:47:27 GMT+0200 (South Africa Standard Time),Mon Nov 03 2025 14:47:27 GMT+0200 (South Africa Standard Time),,Website,Karabo Shabe,karabo@mlodgehotel.co.za,Pretoria Boutique Hotel
1,BK2024001,2,1,confirmed,5000.00,ZAR,Thu Feb 15 2024 00:00:00 GMT+0200 (South Africa Standard Time),Sat Feb 17 2024 00:00:00 GMT+0200 (South Africa Standard Time),2,Late check-in requested,Mon Nov 03 2025 14:47:27 GMT+0200 (South Africa Standard Time),Mon Nov 03 2025 14:47:27 GMT+0200 (South Africa Standard Time),,Website,Karabo Shabe,karabo@mlodgehotel.co.za,Cape Town Luxury Hotel
